資訊時間,成交時間,商品代號,ITEM,成交價,成交量,總量,買單量,賣單量
8450172,8450160,TXFE7,128,9903,1,1316,359,613
8450172,8450160,TXFE7,128,9903,8,1324,360,621
8450172,8450162,TXFE7,128,9902,1,1325,361,622
8450172,8450162,TXFE7,128,9902,1,1326,362,623
8450172,8450163,TXFE7,128,9903,2,1328,363,625
8450172,8450164,TXFE7,128,9902,2,1330,364,626
8450172,8450164,TXFE7,128,9903,8,1338,365,632
8450172,8450167,TXFE7,128,9904,4,1342,366,636
8450184,8450172,TXFE7,128,9902,1,1343,367,637
8450184,8450173,TXFE7,128,9903,1,1344,368,638
8450184,8450174,TXFE7,129,9903,1,1349,371,639
8450184,8450174,TXFE7,129,9902,4,1349,371,639
8450184,8450174,TXFE7,128,9903,1,1350,372,640
8450184,8450176,TXFE7,128,9903,1,1351,373,641
8450184,8450178,TXFE7,128,9903,1,1352,374,642
8450184,8450184,TXFE7,128,9903,1,1353,375,643
8450197,8450186,TXFE7,128,9904,6,1359,376,646
8450197,8450192,TXFE7,128,9904,1,1360,377,647
8450197,8450193,TXFE7,128,9903,7,1367,379,648
8450197,8450196,TXFE7,128,9903,1,1368,380,649
8450209,8450200,TXFE7,128,9904,2,1370,381,650
8450209,8450206,TXFE7,128,9903,4,1374,383,651
8450209,8450206,TXFE7,128,9903,2,1376,384,652
8450209,8450206,TXFE7,128,9903,14,1390,387,653
8450209,8450208,TXFE7,128,9902,1,1391,388,654
8450222,8450210,TXFE7,128,9902,7,1398,391,655
8450222,8450210,TXFE7,128,9903,1,1399,392,656
8450222,8450211,TXFE7,128,9902,4,1403,394,657
8450222,8450211,TXFE7,128,9903,1,1404,395,658
8450222,8450214,TXFE7,128,9902,5,1409,398,659
8450222,8450216,TXFE7,128,9903,1,1410,399,660
8450222,8450217,TXFE7,128,9903,1,1411,400,661
8450234,8450222,TXFE7,128,9902,1,1412,401,662
8450234,8450224,TXFE7,128,9903,6,1418,402,665
8450234,8450227,TXFE7,128,9903,1,1419,403,666
8450234,8450227,TXFE7,128,9903,5,1424,404,668
8450234,8450227,TXFE7,128,9903,5,1429,405,670
8450234,8450230,TXFE7,128,9903,6,1435,406,673
8450234,8450231,TXFE7,128,9903,6,1441,407,674
8450234,8450231,TXFE7,128,9904,24,1465,408,677
8450234,8450234,TXFE7,128,9903,1,1466,409,678
8450247,8450235,TXFE7,128,9904,1,1467,410,679
8450247,8450236,TXFE7,128,9904,6,1473,411,681
8450247,8450242,TXFE7,128,9904,6,1479,412,685
8450247,8450242,TXFE7,128,9903,1,1480,413,686
8450247,8450242,TXFE7,128,9904,5,1485,414,690
8450247,8450243,TXFE7,128,9904,1,1486,415,691
8450247,8450244,TXFE7,128,9903,4,1490,416,692
8450247,8450245,TXFE7,128,9904,1,1491,417,693
8450259,8450248,TXFE7,128,9904,1,1492,418,694
8450259,8450255,TXFE7,128,9903,1,1493,419,695
8450259,8450255,TXFE7,128,9903,1,1494,420,696
8450259,8450257,TXFE7,128,9904,6,1500,421,698
8450272,8450265,TXFE7,128,9904,4,1504,422,699
8450272,8450265,TXFE7,128,9904,2,1506,423,700
8450272,8450269,TXFE7,128,9905,6,1512,424,705
8450272,8450269,TXFE7,128,9905,2,1514,425,707
8450272,8450269,TXFE7,128,9903,1,1515,426,708
8450272,8450271,TXFE7,128,9905,5,1520,427,712
8450272,8450271,TXFE7,129,9903,1,1523,430,713
8450272,8450271,TXFE7,129,9902,2,1523,430,713
8450284,8450272,TXFE7,128,9903,1,1524,431,714
8450284,8450272,TXFE7,128,9903,1,1525,432,715
8450284,8450274,TXFE7,128,9904,1,1526,433,716
8450284,8450277,TXFE7,128,9903,2,1528,434,717
8450284,8450282,TXFE7,128,9903,2,1530,436,718
8450284,8450282,TXFE7,128,9903,1,1531,437,719
8450297,8450285,TXFE7,128,9904,2,1533,438,720
8450297,8450288,TXFE7,128,9903,3,1536,439,721
8450297,8450292,TXFE7,128,9904,1,1537,440,722
8450297,8450296,TXFE7,128,9905,1,1538,441,723
8450309,8450299,TXFE7,128,9904,1,1539,442,724
8450309,8450300,TXFE7,129,9904,5,1549,447,725
8450309,8450300,TXFE7,129,9903,5,1549,447,725
8450309,8450303,TXFE7,128,9903,5,1554,450,726
8450309,8450303,TXFE7,128,9905,2,1556,451,727
8450309,8450307,TXFE7,128,9903,2,1558,453,728
8450322,8450317,TXFE7,128,9905,1,1559,454,729
8450322,8450317,TXFE7,128,9905,2,1561,455,731
8450347,8450338,TXFE7,128,9904,1,1562,456,732
8450347,8450339,TXFE7,128,9904,1,1563,457,733
8450347,8450341,TXFE7,128,9905,1,1564,458,734
8450347,8450345,TXFE7,128,9905,1,1565,459,735
8450359,8450349,TXFE7,128,9904,3,1568,460,736
8450359,8450354,TXFE7,128,9904,3,1571,461,737
8450372,8450367,TXFE7,128,9904,1,1572,462,738
8450372,8450372,TXFE7,128,9904,1,1573,463,739
8450384,8450372,TXFE7,128,9904,1,1574,464,740
8450384,8450373,TXFE7,128,9904,3,1577,465,741
8450384,8450376,TXFE7,128,9905,1,1578,466,742
8450384,8450376,TXFE7,128,9904,1,1579,467,743
8450384,8450378,TXFE7,128,9905,4,1583,468,746
8450384,8450379,TXFE7,128,9905,1,1584,469,747
8450384,8450379,TXFE7,129,9904,1,1586,471,748
8450384,8450379,TXFE7,129,9903,1,1586,471,748
8450384,8450381,TXFE7,128,9905,2,1588,472,750
8450384,8450384,TXFE7,129,9904,1,1590,474,751
8450384,8450384,TXFE7,129,9903,1,1590,474,751
