資訊時間,成交時間,商品代號,ITEM,成交價,成交量,總量,買單量,賣單量
8450008,8450007,TXFE7,128,9929,988,988,299,483
8450009,8450007,TXFE7,129,9929,1,994,305,484
8450009,8450007,TXFE7,129,9928,5,994,305,484
8450009,8450007,TXFE7,128,9928,2,996,307,485
8450009,8450007,TXFE7,128,9928,2,998,308,486
8450009,8450008,TXFE7,128,9929,2,1000,309,488
8450011,8450009,TXFE7,128,9930,2,1004,311,491
8450011,8450009,TXFE7,128,9930,5,1009,312,495
8450011,8450009,TXFE7,128,9928,2,1011,313,496
8450013,8450012,TXFE7,128,9928,2,1013,314,497
8450013,8450012,TXFE7,129,9929,5,1023,315,503
8450013,8450012,TXFE7,129,9930,5,1023,315,503
8450013,8450013,TXFE7,128,9928,1,1024,316,504
8450016,8450014,TXFE7,128,9930,2,1026,317,505
8450016,8450015,TXFE7,128,9930,1,1027,318,506
8450017,8450015,TXFE7,128,9930,1,1028,319,507
8450019,8450019,TXFE7,128,9928,1,1029,320,508
8450021,8450020,TXFE7,128,9930,5,1034,321,511
8450021,8450020,TXFE7,128,9930,5,1039,322,512
8450021,8450021,TXFE7,128,9930,5,1044,323,515
8450034,8450022,TXFE7,128,9930,5,1049,324,516
8450034,8450022,TXFE7,128,9930,5,1054,325,520
8450034,8450023,TXFE7,128,9930,5,1059,326,524
8450034,8450023,TXFE7,128,9930,2,1061,327,526
8450034,8450024,TXFE7,128,9930,5,1066,328,530
8450034,8450024,TXFE7,128,9930,5,1071,329,533
8450034,8450024,TXFE7,128,9930,5,1076,330,537
8450034,8450025,TXFE7,128,9930,5,1081,331,541
8450034,8450026,TXFE7,128,9930,5,1086,332,545
8450034,8450027,TXFE7,128,9930,6,1092,333,549
8450034,8450027,TXFE7,128,9930,2,1094,334,551
8450034,8450027,TXFE7,128,9930,3,1097,335,554
8450034,8450032,TXFE7,128,9929,1,1098,336,555
8450046,8450034,TXFE7,128,9930,5,1103,337,560
8450046,8450034,TXFE7,128,9930,1,1104,338,561
8450046,8450036,TXFE7,128,9930,5,1109,339,566
8450046,8450036,TXFE7,129,9930,2,1114,340,570
8450046,8450036,TXFE7,129,9931,3,1114,340,570
8450046,8450037,TXFE7,128,9931,1,1115,341,571
8450046,8450037,TXFE7,129,9931,3,1120,342,575
8450046,8450037,TXFE7,129,9932,2,1120,342,575
8450046,8450037,TXFE7,128,9930,1,1121,343,576
8450046,8450037,TXFE7,128,9932,5,1126,344,578
8450046,8450038,TXFE7,128,9932,5,1131,345,580
8450046,8450038,TXFE7,128,9932,5,1136,346,585
8450046,8450039,TXFE7,129,9932,3,1141,347,589
8450046,8450039,TXFE7,129,9933,2,1141,347,589
8450046,8450039,TXFE7,128,9933,5,1146,348,590
8450046,8450040,TXFE7,128,9933,2,1148,349,591
8450046,8450040,TXFE7,128,9933,5,1153,350,594
8450046,8450040,TXFE7,128,9933,5,1158,351,595
8450046,8450041,TXFE7,128,9933,5,1163,352,596
8450046,8450041,TXFE7,128,9933,5,1168,353,597
8450046,8450043,TXFE7,129,9931,1,1173,354,599
8450046,8450043,TXFE7,129,9933,4,1173,354,599
8450046,8450044,TXFE7,128,9933,5,1178,355,600
8450046,8450046,TXFE7,128,9933,5,1183,356,601
8450059,8450047,TXFE7,128,9933,5,1188,357,606
8450059,8450047,TXFE7,128,9932,1,1189,358,607
8450059,8450047,TXFE7,129,9932,1,1194,359,610
8450059,8450047,TXFE7,129,9933,4,1194,359,610
8450059,8450047,TXFE7,129,9933,1,1199,360,614
8450059,8450047,TXFE7,129,9934,4,1199,360,614
8450059,8450048,TXFE7,128,9934,5,1204,361,616
8450059,8450049,TXFE7,128,9934,10,1214,362,619
8450059,8450049,TXFE7,128,9934,5,1219,363,620
8450059,8450049,TXFE7,128,9934,5,1224,364,621
8450059,8450050,TXFE7,128,9934,5,1229,365,622
8450059,8450050,TXFE7,128,9934,1,1230,366,623
8450059,8450051,TXFE7,128,9934,5,1235,367,624
8450059,8450051,TXFE7,128,9934,5,1240,368,625
8450059,8450052,TXFE7,128,9934,2,1242,369,626
8450059,8450052,TXFE7,128,9934,5,1247,370,627
8450059,8450053,TXFE7,128,9934,4,1251,371,628
8450059,8450057,TXFE7,128,9934,1,1252,372,629
8450059,8450058,TXFE7,128,9934,4,1256,373,630
8450071,8450059,TXFE7,128,9932,1,1257,374,631
8450071,8450060,TXFE7,128,9934,2,1259,375,632
8450071,8450060,TXFE7,128,9932,1,1260,376,633
8450071,8450061,TXFE7,128,9934,6,1266,377,634
8450071,8450061,TXFE7,128,9932,1,1267,378,635
8450071,8450063,TXFE7,129,9933,1,1269,379,637
8450071,8450063,TXFE7,129,9934,1,1269,379,637
8450071,8450064,TXFE7,128,9934,1,1270,380,638
8450071,8450065,TXFE7,128,9932,2,1272,381,639
8450071,8450067,TXFE7,128,9934,1,1273,382,640
8450071,8450067,TXFE7,128,9934,2,1275,383,641
8450071,8450068,TXFE7,128,9934,2,1277,384,642
8450071,8450068,TXFE7,129,9932,2,1281,387,643
8450071,8450068,TXFE7,129,9931,2,1281,387,643
8450071,8450069,TXFE7,128,9933,1,1282,388,644
8450071,8450069,TXFE7,128,9933,1,1283,389,645
8450071,8450069,TXFE7,128,9933,2,1285,391,646
8450071,8450069,TXFE7,128,9934,5,1290,392,650
8450071,8450070,TXFE7,128,9934,5,1295,393,652
8450071,8450071,TXFE7,128,9934,10,1305,394,659
8450071,8450071,TXFE7,129,9934,2,1310,395,661
8450071,8450071,TXFE7,129,9935,3,1310,395,661
8450084,8450071,TXFE7,130,9933,1,1314,399,662
8450084,8450071,TXFE7,130,9932,2,1314,399,662
8450084,8450071,TXFE7,130,9931,1,1314,399,662
