資訊時間,成交時間,商品代號,ITEM,成交價,成交量,總量,買單量,賣單量
8450003,8450003,TXFE7,128,9946,456,456,233,177
8450040,8450028,TXFE7,129,9944,8,479,249,185
8450040,8450028,TXFE7,129,9943,1,479,249,185
8450040,8450028,TXFE7,128,9943,6,485,251,186
8450040,8450029,TXFE7,128,9945,2,487,252,188
8450040,8450036,TXFE7,129,9944,1,489,254,189
8450040,8450036,TXFE7,129,9943,1,489,254,189
8450040,8450037,TXFE7,128,9943,2,491,256,190
8450053,8450041,TXFE7,128,9942,2,493,258,191
8450053,8450042,TXFE7,128,9944,1,494,259,192
8450053,8450044,TXFE7,129,9944,1,498,260,196
8450053,8450044,TXFE7,129,9945,3,498,260,196
8450053,8450047,TXFE7,128,9944,1,499,261,197
8450053,8450052,TXFE7,128,9943,2,501,262,198
8450065,8450056,TXFE7,129,9943,1,503,264,199
8450065,8450056,TXFE7,129,9942,1,503,264,199
8450065,8450060,TXFE7,128,9944,1,504,265,200
8450065,8450064,TXFE7,128,9942,1,505,266,201
8450078,8450069,TXFE7,128,9944,1,506,267,202
8450078,8450071,TXFE7,128,9942,1,507,268,203
8450078,8450072,TXFE7,128,9942,1,508,269,204
8450078,8450075,TXFE7,128,9944,1,509,270,205
8450078,8450077,TXFE7,128,9942,1,510,271,206
8450090,8450079,TXFE7,128,9942,1,511,272,207
8450090,8450088,TXFE7,128,9943,1,512,273,208
8450090,8450089,TXFE7,128,9943,1,513,274,209
8450090,8450089,TXFE7,129,9942,1,517,277,210
8450090,8450089,TXFE7,129,9941,3,517,277,210
8450103,8450090,TXFE7,128,9943,1,518,278,211
8450103,8450094,TXFE7,129,9943,2,525,279,218
8450103,8450094,TXFE7,129,9944,5,525,279,218
8450103,8450094,TXFE7,128,9944,4,529,280,219
8450103,8450098,TXFE7,128,9945,2,531,281,221
8450115,8450103,TXFE7,128,9944,7,538,282,222
8450115,8450105,TXFE7,128,9944,1,539,283,223
8450115,8450107,TXFE7,128,9945,2,541,284,225
8450128,8450118,TXFE7,128,9944,8,549,285,226
8450128,8450122,TXFE7,128,9944,1,550,286,227
8450128,8450123,TXFE7,128,9944,1,551,287,228
8450128,8450125,TXFE7,128,9945,3,554,288,231
8450140,8450130,TXFE7,128,9944,11,565,289,232
8450140,8450130,TXFE7,129,9944,3,569,292,233
8450140,8450130,TXFE7,129,9943,1,569,292,233
8450140,8450133,TXFE7,128,9942,1,570,293,234
8450140,8450134,TXFE7,128,9943,1,571,294,235
8450140,8450135,TXFE7,128,9944,4,575,295,236
8450140,8450138,TXFE7,128,9945,1,576,296,237
8450153,8450140,TXFE7,128,9944,1,577,297,238
8450153,8450140,TXFE7,128,9944,1,578,298,239
8450153,8450140,TXFE7,128,9944,1,579,299,240
8450153,8450152,TXFE7,128,9942,1,580,300,241
8450165,8450153,TXFE7,128,9942,1,581,301,242
8450178,8450171,TXFE7,128,9942,7,588,304,243
8450178,8450176,TXFE7,128,9942,1,589,305,244
8450203,8450191,TXFE7,128,9942,2,591,306,245
8450215,8450203,TXFE7,128,9942,2,593,307,246
8450215,8450205,TXFE7,128,9941,1,594,308,247
8450228,8450215,TXFE7,128,9941,1,595,309,248
8450228,8450219,TXFE7,128,9941,1,596,310,249
8450228,8450220,TXFE7,128,9941,2,598,311,250
8450228,8450220,TXFE7,128,9941,1,599,312,251
8450240,8450233,TXFE7,128,9941,7,606,313,252
8450240,8450235,TXFE7,128,9941,1,607,314,253
8450240,8450239,TXFE7,128,9942,1,608,315,254
8450240,8450240,TXFE7,128,9941,1,609,316,255
8450253,8450240,TXFE7,128,9941,4,613,319,256
8450253,8450240,TXFE7,128,9941,2,615,320,257
8450265,8450262,TXFE7,128,9942,1,616,321,258
8450278,8450266,TXFE7,128,9941,1,617,322,259
8450290,8450285,TXFE7,128,9941,3,620,325,260
8450303,8450298,TXFE7,128,9942,1,621,326,261
8450315,8450310,TXFE7,128,9941,4,625,328,262
8450328,8450316,TXFE7,128,9941,1,626,329,263
8450353,8450343,TXFE7,128,9941,5,631,332,264
8450353,8450343,TXFE7,128,9941,4,635,333,265
8450353,8450344,TXFE7,128,9942,1,636,334,266
8450353,8450350,TXFE7,128,9940,1,637,335,267
8450365,8450358,TXFE7,128,9942,1,638,336,268
8450403,8450391,TXFE7,128,9941,5,643,337,270
8450403,8450396,TXFE7,128,9941,1,644,338,271
8450428,8450419,TXFE7,128,9940,2,646,340,272
8450428,8450421,TXFE7,128,9940,1,647,341,273
8450428,8450423,TXFE7,128,9940,1,648,342,274
8450440,8450437,TXFE7,128,9940,1,649,343,275
8450453,8450444,TXFE7,128,9941,1,650,344,276
8450465,8450458,TXFE7,128,9940,1,651,345,277
8450478,8450466,TXFE7,128,9940,1,652,346,278
8450478,8450467,TXFE7,128,9940,2,654,348,279
8450478,8450469,TXFE7,128,9940,1,655,349,280
8450478,8450471,TXFE7,128,9941,2,657,350,282
