資訊時間,成交時間,商品代號,ITEM,成交價,成交量,總量,買單量,賣單量
8450005,8450004,TXFE7,128,9916,471,471,184,164
8450007,8450005,TXFE7,128,9917,2,473,185,166
8450007,8450005,TXFE7,128,9917,2,475,186,167
8450007,8450006,TXFE7,129,9917,3,481,187,170
8450007,8450006,TXFE7,129,9918,3,481,187,170
8450007,8450006,TXFE7,128,9916,1,482,188,171
8450009,8450007,TXFE7,128,9918,2,484,189,172
8450029,8450025,TXFE7,128,9917,2,486,190,173
8450042,8450030,TXFE7,128,9917,2,488,191,174
8450042,8450032,TXFE7,128,9917,2,490,193,175
8450042,8450038,TXFE7,128,9918,2,492,194,176
8450042,8450040,TXFE7,129,9916,6,502,201,177
8450042,8450040,TXFE7,129,9915,4,502,201,177
8450054,8450042,TXFE7,129,9917,1,544,202,186
8450054,8450042,TXFE7,129,9918,41,544,202,186
8450054,8450044,TXFE7,128,9919,1,545,203,187
8450054,8450045,TXFE7,128,9916,6,551,207,188
8450054,8450045,TXFE7,128,9919,1,552,208,189
8450054,8450045,TXFE7,128,9917,1,553,209,190
8450054,8450046,TXFE7,129,9918,1,555,210,192
8450054,8450046,TXFE7,129,9919,1,555,210,192
8450054,8450047,TXFE7,128,9919,2,557,211,194
8450067,8450057,TXFE7,128,9919,1,558,212,195
8450067,8450057,TXFE7,128,9920,1,559,213,196
8450067,8450066,TXFE7,128,9919,2,561,214,197
8450079,8450067,TXFE7,128,9920,1,562,215,198
8450079,8450077,TXFE7,128,9919,1,563,216,199
8450079,8450079,TXFE7,128,9920,5,568,217,201
8450092,8450088,TXFE7,128,9919,2,570,218,202
8450092,8450089,TXFE7,128,9919,1,571,219,203
8450092,8450091,TXFE7,128,9920,1,572,220,204
8450092,8450091,TXFE7,128,9919,1,573,221,205
8450104,8450093,TXFE7,128,9919,1,574,222,206
8450104,8450095,TXFE7,128,9919,1,575,223,207
8450117,8450105,TXFE7,128,9919,6,581,225,208
8450117,8450105,TXFE7,128,9919,6,587,227,209
8450117,8450105,TXFE7,129,9919,1,593,232,210
8450117,8450105,TXFE7,129,9918,5,593,232,210
8450117,8450105,TXFE7,128,9917,6,599,236,211
8450117,8450110,TXFE7,128,9919,2,601,237,213
8450117,8450116,TXFE7,129,9918,3,607,243,214
8450117,8450116,TXFE7,129,9916,3,607,243,214
8450129,8450117,TXFE7,128,9917,1,608,244,215
8450129,8450117,TXFE7,128,9917,1,609,245,216
8450129,8450120,TXFE7,128,9918,1,610,246,217
8450129,8450120,TXFE7,128,9916,1,611,247,218
8450129,8450127,TXFE7,128,9916,4,615,248,219
8450129,8450127,TXFE7,129,9918,1,619,249,223
8450129,8450127,TXFE7,129,9919,3,619,249,223
8450129,8450128,TXFE7,128,9919,1,620,250,224
8450129,8450129,TXFE7,128,9920,1,621,251,225
8450142,8450130,TXFE7,128,9919,1,622,252,226
8450142,8450133,TXFE7,129,9919,4,628,253,229
8450142,8450133,TXFE7,129,9920,2,628,253,229
8450142,8450135,TXFE7,128,9919,2,630,254,230
8450142,8450135,TXFE7,128,9919,2,632,255,231
8450142,8450141,TXFE7,128,9919,2,634,256,232
8450154,8450142,TXFE7,128,9920,1,635,257,233
8450154,8450150,TXFE7,128,9920,2,637,258,235
8450192,8450186,TXFE7,128,9919,1,638,259,236
8450192,8450189,TXFE7,128,9920,7,645,260,243
8450204,8450197,TXFE7,128,9919,8,653,264,244
8450204,8450201,TXFE7,128,9918,1,654,265,245
8450217,8450205,TXFE7,128,9918,2,656,266,246
8450217,8450206,TXFE7,128,9918,1,657,267,247
8450217,8450209,TXFE7,128,9918,1,658,268,248
8450217,8450210,TXFE7,128,9919,8,666,269,251
8450217,8450210,TXFE7,129,9918,1,668,271,252
8450217,8450210,TXFE7,129,9917,1,668,271,252
8450217,8450210,TXFE7,128,9917,2,670,273,253
8450217,8450210,TXFE7,128,9919,1,671,274,254
8450217,8450212,TXFE7,128,9918,1,672,275,255
8450217,8450213,TXFE7,128,9917,1,673,276,256
8450217,8450213,TXFE7,128,9917,2,675,277,257
8450217,8450215,TXFE7,128,9918,2,677,278,258
8450229,8450217,TXFE7,128,9919,4,681,279,261
8450229,8450217,TXFE7,128,9919,2,683,280,262
8450229,8450218,TXFE7,128,9918,2,685,282,263
8450229,8450219,TXFE7,128,9919,10,695,283,266
8450229,8450219,TXFE7,128,9919,1,696,284,267
8450229,8450219,TXFE7,128,9919,1,697,285,268
8450229,8450221,TXFE7,128,9919,1,698,286,269
8450242,8450240,TXFE7,128,9919,6,704,287,271
8450242,8450240,TXFE7,128,9919,1,705,288,272
8450254,8450243,TXFE7,130,9918,15,729,301,273
8450254,8450243,TXFE7,130,9917,2,729,301,273
8450254,8450243,TXFE7,130,9916,7,729,301,273
8450267,8450257,TXFE7,128,9917,3,732,302,274
8450267,8450264,TXFE7,129,9918,2,737,303,279
8450267,8450264,TXFE7,129,9919,3,737,303,279
8450279,8450268,TXFE7,128,9917,1,738,304,280
8450279,8450270,TXFE7,128,9917,1,739,305,281
8450279,8450272,TXFE7,128,9919,7,746,306,284
8450292,8450287,TXFE7,128,9918,2,748,308,285
8450292,8450289,TXFE7,128,9918,2,750,310,286
8450292,8450290,TXFE7,128,9919,32,782,311,296
8450304,8450296,TXFE7,128,9920,1,783,312,297
8450304,8450297,TXFE7,128,9920,1,784,313,298
