資訊時間,成交時間,商品代號,ITEM,成交價,成交量,總量,買單量,賣單量
8450002,8450002,TXFE7,128,9982,355,355,122,143
8450005,8450002,TXFE7,128,9982,6,361,123,149
8450005,8450003,TXFE7,128,9982,1,362,124,150
8450005,8450004,TXFE7,129,9982,1,367,128,151
8450005,8450004,TXFE7,129,9981,4,367,128,151
8450015,8450013,TXFE7,128,9982,1,368,129,152
8450015,8450013,TXFE7,128,9983,2,370,130,154
8450031,8450020,TXFE7,128,9982,1,371,131,155
8450031,8450029,TXFE7,128,9981,1,372,132,156
8450031,8450031,TXFE7,128,9981,4,376,135,157
8450031,8450031,TXFE7,128,9981,4,380,139,158
8450044,8450031,TXFE7,128,9981,3,383,141,159
8450044,8450036,TXFE7,128,9983,1,384,142,160
8450044,8450036,TXFE7,128,9983,1,385,143,161
8450056,8450044,TXFE7,128,9981,1,386,144,162
8450056,8450045,TXFE7,128,9981,1,387,145,163
8450056,8450046,TXFE7,128,9981,4,391,148,164
8450056,8450049,TXFE7,128,9980,1,392,149,165
8450056,8450049,TXFE7,128,9980,1,393,150,166
8450056,8450049,TXFE7,128,9980,8,401,156,167
8450056,8450051,TXFE7,129,9981,1,403,157,169
8450056,8450051,TXFE7,129,9982,1,403,157,169
8450056,8450053,TXFE7,128,9982,2,405,158,171
8450056,8450055,TXFE7,128,9980,5,410,162,172
8450069,8450057,TXFE7,128,9980,8,418,164,173
8450069,8450057,TXFE7,128,9980,36,454,168,174
8450069,8450057,TXFE7,128,9979,1,455,169,175
8450069,8450057,TXFE7,128,9979,1,456,170,176
8450069,8450059,TXFE7,128,9979,3,459,171,177
8450069,8450064,TXFE7,128,9979,3,462,172,178
8450081,8450069,TXFE7,128,9980,2,464,173,179
8450081,8450073,TXFE7,128,9979,1,465,174,180
8450081,8450075,TXFE7,128,9979,1,466,175,181
8450081,8450077,TXFE7,128,9980,1,467,176,182
8450094,8450087,TXFE7,128,9980,1,468,177,183
8450094,8450092,TXFE7,128,9980,2,470,178,185
8450106,8450105,TXFE7,129,9979,8,479,186,186
8450106,8450105,TXFE7,129,9978,1,479,186,186
8450119,8450109,TXFE7,129,9978,16,499,198,187
8450119,8450109,TXFE7,129,9977,4,499,198,187
8450119,8450110,TXFE7,128,9977,1,500,199,188
8450131,8450124,TXFE7,128,9977,1,501,200,189
8450131,8450126,TXFE7,128,9978,2,503,201,190
8450144,8450132,TXFE7,128,9977,2,505,203,191
8450144,8450135,TXFE7,129,9977,2,515,208,192
8450144,8450135,TXFE7,129,9976,8,515,208,192
8450144,8450136,TXFE7,128,9978,3,518,209,195
8450156,8450152,TXFE7,128,9976,1,519,210,196
8450156,8450152,TXFE7,128,9977,1,520,211,197
8450156,8450155,TXFE7,128,9976,4,524,215,198
8450169,8450162,TXFE7,128,9977,1,525,216,199
8450181,8450169,TXFE7,128,9977,1,526,217,200
8450181,8450170,TXFE7,128,9977,4,530,218,203
8450181,8450171,TXFE7,128,9977,3,533,219,204
8450194,8450192,TXFE7,128,9977,1,534,220,205
8450194,8450194,TXFE7,128,9977,4,538,222,206
8450206,8450195,TXFE7,128,9976,12,550,227,207
8450206,8450196,TXFE7,128,9976,6,556,232,208
8450206,8450196,TXFE7,129,9976,4,564,236,209
8450206,8450196,TXFE7,129,9975,4,564,236,209
8450206,8450198,TXFE7,128,9977,1,565,237,210
8450219,8450207,TXFE7,128,9976,1,566,238,211
8450219,8450211,TXFE7,128,9976,1,567,239,212
8450219,8450211,TXFE7,128,9975,4,571,242,213
8450231,8450224,TXFE7,128,9977,3,574,243,215
8450256,8450248,TXFE7,128,9976,1,575,244,216
8450256,8450253,TXFE7,128,9976,1,576,245,217
8450269,8450263,TXFE7,128,9976,2,578,247,218
8450269,8450265,TXFE7,128,9977,1,579,248,219
8450269,8450268,TXFE7,128,9977,1,580,249,220
8450281,8450281,TXFE7,128,9977,2,582,250,222
8450294,8450287,TXFE7,128,9976,5,587,254,223
8450294,8450291,TXFE7,128,9977,10,597,256,225
8450294,8450293,TXFE7,128,9977,1,598,257,226
8450294,8450294,TXFE7,128,9976,1,599,258,227
8450306,8450296,TXFE7,128,9976,1,600,259,228
8450306,8450305,TXFE7,128,9976,1,601,260,229
8450319,8450307,TXFE7,128,9977,1,602,261,230
8450331,8450323,TXFE7,128,9976,1,603,262,231
8450331,8450325,TXFE7,128,9976,6,609,263,232
8450331,8450328,TXFE7,128,9977,5,614,264,233
8450331,8450328,TXFE7,128,9976,1,615,265,234
8450344,8450332,TXFE7,128,9976,1,616,266,235
8450344,8450340,TXFE7,128,9977,1,617,267,236
8450344,8450342,TXFE7,128,9977,1,618,268,237
8450369,8450359,TXFE7,128,9977,2,620,269,238
8450369,8450359,TXFE7,128,9977,2,622,270,240
8450369,8450367,TXFE7,128,9977,1,623,271,241
8450381,8450373,TXFE7,128,9977,3,626,272,242
8450406,8450401,TXFE7,128,9977,1,627,273,243
8450406,8450401,TXFE7,128,9976,1,628,274,244
8450419,8450415,TXFE7,128,9976,1,629,275,245
8450431,8450421,TXFE7,128,9977,3,632,276,248
8450431,8450425,TXFE7,128,9977,1,633,277,249
8450431,8450426,TXFE7,128,9977,1,634,278,250
8450431,8450426,TXFE7,128,9977,1,635,279,251
8450444,8450431,TXFE7,128,9977,1,636,280,252
8450444,8450434,TXFE7,128,9977,1,637,281,253
8450444,8450439,TXFE7,128,9977,1,638,282,254
8450456,8450450,TXFE7,128,9977,1,639,283,255
8450456,8450456,TXFE7,128,9977,1,640,284,256
8450481,8450470,TXFE7,128,9977,1,641,285,257
8450494,8450486,TXFE7,128,9978,2,643,286,259
8450506,8450505,TXFE7,128,9978,1,644,287,260
8450519,8450507,TXFE7,128,9978,1,645,288,261
8450519,8450513,TXFE7,128,9977,1,646,289,262
8450519,8450518,TXFE7,128,9978,1,647,290,263
8450531,8450529,TXFE7,128,9977,5,652,292,264
8450544,8450534,TXFE7,128,9978,1,653,293,265
8450544,8450539,TXFE7,128,9978,5,658,294,267
8450556,8450555,TXFE7,128,9977,3,661,296,268
8450569,8450557,TXFE7,128,9978,1,662,297,269
8450569,8450567,TXFE7,128,9978,1,663,298,270
8450581,8450570,TXFE7,128,9978,4,667,299,271
8450581,8450571,TXFE7,128,9979,8,675,300,276
8450581,8450576,TXFE7,128,9979,4,679,301,277
8450594,8450590,TXFE7,128,9979,1,680,302,278
8450606,8450601,TXFE7,128,9979,1,681,303,279
8450656,8450648,TXFE7,129,9978,13,701,312,280
8450656,8450648,TXFE7,129,9977,7,701,312,280
8450656,8450655,TXFE7,128,9979,1,702,313,281
8450669,8450659,TXFE7,129,9977,9,712,320,282
8450669,8450659,TXFE7,129,9976,1,712,320,282
8450669,8450661,TXFE7,128,9976,1,713,321,283
8450669,8450665,TXFE7,128,9978,1,714,322,284
8450681,8450672,TXFE7,128,9978,2,716,323,286
8450681,8450676,TXFE7,128,9976,1,717,324,287
8450694,8450692,TXFE7,128,9978,3,720,325,288
8450706,8450697,TXFE7,128,9978,6,726,326,292
8450706,8450706,TXFE7,128,9978,1,727,327,293
8450719,8450707,TXFE7,128,9978,1,728,328,294
8450731,8450719,TXFE7,128,9978,1,729,329,295
8450731,8450723,TXFE7,128,9979,1,730,330,296
8450731,8450724,TXFE7,128,9979,1,731,331,297
8450731,8450725,TXFE7,128,9977,1,732,332,298
8450731,8450727,TXFE7,128,9979,1,733,333,299
8450731,8450729,TXFE7,128,9977,5,738,335,300
8450756,8450749,TXFE7,129,9978,3,758,345,301
8450756,8450749,TXFE7,129,9977,17,758,345,301
8450756,8450755,TXFE7,128,9979,3,761,346,302
8450794,8450782,TXFE7,128,9979,8,769,347,306
8450794,8450789,TXFE7,128,9979,8,777,348,310
8450794,8450790,TXFE7,128,9979,1,778,349,311
8450794,8450793,TXFE7,128,9979,8,786,350,315
8450794,8450793,TXFE7,128,9980,1,787,351,316
8450806,8450799,TXFE7,128,9979,1,788,352,317
8450819,8450810,TXFE7,128,9978,2,790,354,318
8450819,8450811,TXFE7,128,9979,1,791,355,319
8450819,8450811,TXFE7,128,9980,4,795,359,323
8450831,8450823,TXFE7,128,9980,3,798,360,324
8450831,8450824,TXFE7,128,9980,2,800,361,325
8450831,8450826,TXFE7,128,9980,1,801,362,326
8450881,8450873,TXFE7,128,9978,5,806,364,327
8450881,8450881,TXFE7,128,9979,1,807,365,328
8450894,8450889,TXFE7,128,9980,1,808,366,329
8450906,8450895,TXFE7,128,9978,2,810,367,330
8450919,8450916,TXFE7,128,9980,4,814,368,331
8450931,8450928,TXFE7,128,9979,5,819,370,332
8450944,8450937,TXFE7,128,9979,2,821,371,333
8450944,8450940,TXFE7,128,9980,1,822,372,334
8450956,8450944,TXFE7,128,9979,32,854,374,335
8450956,8450944,TXFE7,128,9979,2,856,375,336
8450969,8450965,TXFE7,128,9979,3,859,376,339
8450981,8450969,TXFE7,128,9979,1,860,377,340
8450981,8450978,TXFE7,128,9978,1,861,378,341
8451006,8450998,TXFE7,128,9978,10,871,384,342
8451044,8451036,TXFE7,128,9977,1,872,385,343
8451044,8451040,TXFE7,128,9978,2,874,386,344
8451056,8451051,TXFE7,128,9978,1,875,387,345
8451069,8451065,TXFE7,128,9978,1,876,388,346
8451081,8451076,TXFE7,128,9978,1,877,389,347
8451081,8451076,TXFE7,128,9977,1,878,390,348
8451081,8451077,TXFE7,128,9978,4,882,391,349
