資訊時間,成交時間,商品代號,ITEM,成交價,成交量,總量,買單量,賣單量
8450007,8450006,TXFE7,128,9962,565,565,199,189
8450034,8450024,TXFE7,128,9961,1,586,206,203
8450034,8450030,TXFE7,129,9962,1,588,207,205
8450034,8450030,TXFE7,129,9963,1,588,207,205
8450046,8450034,TXFE7,128,9963,8,596,208,210
8450046,8450036,TXFE7,129,9962,1,598,210,211
8450046,8450036,TXFE7,129,9961,1,598,210,211
8450046,8450036,TXFE7,128,9961,2,600,212,212
8450046,8450036,TXFE7,128,9963,2,602,213,214
8450046,8450037,TXFE7,128,9963,4,606,214,215
8450046,8450038,TXFE7,128,9963,5,611,215,216
8450046,8450039,TXFE7,128,9963,14,625,216,217
8450046,8450040,TXFE7,128,9963,5,630,217,218
8450046,8450040,TXFE7,128,9963,6,636,218,221
8450046,8450045,TXFE7,128,9963,4,640,219,222
8450059,8450054,TXFE7,128,9963,1,641,220,223
8450059,8450056,TXFE7,128,9963,5,646,221,228
8450059,8450058,TXFE7,128,9963,1,647,222,229
8450059,8450058,TXFE7,128,9964,1,648,223,230
8450071,8450060,TXFE7,128,9964,1,649,224,231
8450071,8450066,TXFE7,128,9963,1,650,225,232
8450071,8450066,TXFE7,128,9964,1,651,226,233
8450071,8450067,TXFE7,128,9962,1,652,227,234
8450071,8450067,TXFE7,128,9964,1,653,228,235
8450071,8450069,TXFE7,128,9964,4,657,229,238
8450084,8450075,TXFE7,128,9964,5,662,230,242
8450084,8450081,TXFE7,128,9964,6,668,231,247
8450096,8450090,TXFE7,128,9963,1,669,232,248
8450096,8450093,TXFE7,129,9963,2,673,233,250
8450096,8450093,TXFE7,129,9964,2,673,233,250
8450109,8450102,TXFE7,128,9963,1,674,234,251
8450109,8450103,TXFE7,129,9963,1,676,235,253
8450109,8450103,TXFE7,129,9964,1,676,235,253
8450121,8450109,TXFE7,128,9962,1,677,236,254
8450134,8450123,TXFE7,128,9963,4,681,237,255
8450134,8450132,TXFE7,128,9963,1,682,238,256
8450146,8450144,TXFE7,128,9962,1,683,239,257
8450146,8450144,TXFE7,128,9963,1,684,240,258
8450159,8450147,TXFE7,128,9962,1,685,241,259
8450159,8450148,TXFE7,128,9963,1,686,242,260
8450159,8450152,TXFE7,128,9963,1,687,243,261
8450159,8450153,TXFE7,128,9963,1,688,244,262
8450159,8450156,TXFE7,128,9963,1,689,245,263
8450159,8450157,TXFE7,128,9962,1,690,246,264
8450171,8450166,TXFE7,128,9963,1,691,247,265
8450171,8450170,TXFE7,128,9962,1,692,248,266
8450171,8450170,TXFE7,128,9962,1,693,249,267
8450184,8450174,TXFE7,128,9963,1,694,250,268
8450184,8450175,TXFE7,128,9962,5,699,251,269
8450184,8450183,TXFE7,128,9963,1,700,252,270
8450196,8450184,TXFE7,128,9962,1,701,253,271
8450196,8450184,TXFE7,128,9962,6,707,258,272
8450196,8450185,TXFE7,128,9963,2,709,259,273
8450196,8450189,TXFE7,128,9963,1,710,260,274
8450209,8450200,TXFE7,128,9963,1,711,261,275
8450209,8450203,TXFE7,128,9961,1,712,262,276
8450209,8450206,TXFE7,128,9963,2,714,263,277
8450221,8450210,TXFE7,129,9963,11,738,264,286
8450221,8450210,TXFE7,129,9964,13,738,264,286
8450221,8450210,TXFE7,128,9961,1,739,265,287
8450221,8450211,TXFE7,128,9964,5,744,266,290
8450221,8450214,TXFE7,128,9964,4,748,267,292
8450234,8450228,TXFE7,128,9964,1,749,268,293
8450234,8450228,TXFE7,128,9962,3,752,271,294
8450234,8450232,TXFE7,128,9962,1,753,272,295
8450234,8450232,TXFE7,128,9962,1,754,273,296
8450246,8450239,TXFE7,129,9962,2,764,280,297
8450246,8450239,TXFE7,129,9961,8,764,280,297
8450246,8450242,TXFE7,128,9963,1,765,281,298
8450259,8450246,TXFE7,128,9962,1,766,282,299
8450271,8450259,TXFE7,128,9961,5,771,284,300
8450271,8450265,TXFE7,128,9962,1,772,285,301
8450271,8450269,TXFE7,128,9960,1,773,286,302
8450296,8450285,TXFE7,129,9962,21,797,287,316
8450296,8450285,TXFE7,129,9963,3,797,287,316
8450296,8450294,TXFE7,128,9961,1,798,288,317
8450309,8450296,TXFE7,128,9961,1,799,289,318
8450321,8450311,TXFE7,128,9962,2,801,290,319
8450321,8450313,TXFE7,128,9961,5,806,292,320
8450321,8450315,TXFE7,128,9961,1,807,293,321
8450334,8450325,TXFE7,128,9961,3,810,295,322
8450334,8450325,TXFE7,128,9962,1,811,296,323
8450334,8450325,TXFE7,128,9961,2,813,297,324
8450334,8450329,TXFE7,128,9961,1,814,298,325
8450334,8450333,TXFE7,128,9962,1,815,299,326
8450346,8450337,TXFE7,128,9960,10,825,306,327
8450346,8450337,TXFE7,128,9962,1,826,307,328
8450346,8450341,TXFE7,128,9961,1,827,308,329
8450346,8450346,TXFE7,128,9960,3,830,310,330
8450359,8450346,TXFE7,128,9960,4,834,313,331
8450359,8450356,TXFE7,128,9959,1,835,314,332
8450359,8450356,TXFE7,128,9961,1,836,315,333
8450371,8450359,TXFE7,128,9961,1,837,316,334
8450371,8450368,TXFE7,128,9961,1,838,317,335
8450384,8450373,TXFE7,129,9960,1,843,322,336
8450384,8450373,TXFE7,129,9959,4,843,322,336
8450421,8450411,TXFE7,128,9961,8,851,323,340
8450421,8450414,TXFE7,128,9960,1,852,324,341
