資訊時間,成交時間,商品代號,ITEM,成交價,成交量,總量,買單量,賣單量
8450008,8450007,TXFE7,128,9951,451,451,152,222
8450009,8450008,TXFE7,128,9951,2,453,153,224
8450011,8450010,TXFE7,128,9951,2,455,154,226
8450011,8450010,TXFE7,128,9951,1,456,155,227
8450011,8450010,TXFE7,128,9951,5,461,156,232
8450015,8450013,TXFE7,128,9951,1,462,157,233
8450021,8450020,TXFE7,128,9951,1,463,158,234
8450029,8450021,TXFE7,128,9950,3,466,160,235
8450042,8450035,TXFE7,128,9951,2,468,161,236
8450042,8450035,TXFE7,128,9951,1,469,162,237
8450042,8450035,TXFE7,128,9951,1,470,163,238
8450042,8450038,TXFE7,128,9950,2,472,164,239
8450042,8450039,TXFE7,128,9951,2,474,165,240
8450054,8450043,TXFE7,128,9950,2,476,166,241
8450054,8450046,TXFE7,128,9951,1,477,167,242
8450054,8450050,TXFE7,128,9951,1,478,168,243
8450054,8450053,TXFE7,128,9950,2,480,169,244
8450067,8450054,TXFE7,128,9950,2,482,170,245
8450067,8450057,TXFE7,128,9951,6,488,171,246
8450067,8450061,TXFE7,128,9950,3,491,172,247
8450067,8450066,TXFE7,128,9950,2,493,173,248
8450079,8450068,TXFE7,128,9950,2,495,174,249
8450079,8450072,TXFE7,128,9950,1,496,175,250
8450079,8450073,TXFE7,128,9951,2,498,176,251
8450079,8450075,TXFE7,128,9951,1,499,177,252
8450092,8450079,TXFE7,128,9950,1,500,178,253
8450092,8450081,TXFE7,128,9951,1,501,179,254
8450092,8450084,TXFE7,128,9950,1,502,180,255
8450104,8450100,TXFE7,128,9951,2,504,181,256
8450117,8450115,TXFE7,128,9951,2,506,182,257
8450117,8450116,TXFE7,128,9950,1,507,183,258
8450129,8450118,TXFE7,128,9950,1,508,184,259
8450129,8450119,TXFE7,128,9950,5,513,185,260
8450129,8450119,TXFE7,128,9950,5,518,187,261
8450129,8450127,TXFE7,128,9950,5,523,189,262
8450142,8450132,TXFE7,128,9950,2,525,190,263
8450142,8450134,TXFE7,128,9950,9,534,197,264
8450142,8450137,TXFE7,128,9951,1,535,198,265
8450154,8450145,TXFE7,128,9951,1,536,199,266
8450154,8450148,TXFE7,128,9950,1,537,200,267
8450167,8450156,TXFE7,128,9951,2,539,201,268
8450167,8450157,TXFE7,128,9951,2,541,202,269
8450167,8450157,TXFE7,128,9950,17,558,208,270
8450167,8450162,TXFE7,128,9950,1,559,209,271
8450167,8450165,TXFE7,128,9951,3,562,210,272
8450179,8450167,TXFE7,128,9950,1,563,211,273
8450179,8450171,TXFE7,128,9950,1,564,212,274
8450179,8450175,TXFE7,128,9950,1,565,213,275
8450179,8450177,TXFE7,128,9950,1,566,214,276
8450192,8450179,TXFE7,128,9950,3,569,216,277
8450192,8450192,TXFE7,128,9950,5,574,220,278
8450204,8450199,TXFE7,128,9950,1,575,221,279
8450217,8450207,TXFE7,128,9950,20,595,223,280
8450217,8450209,TXFE7,128,9950,1,596,224,281
8450217,8450211,TXFE7,128,9950,1,597,225,282
8450217,8450215,TXFE7,128,9951,1,598,226,283
8450229,8450221,TXFE7,128,9950,1,599,227,284
8450229,8450226,TXFE7,128,9951,2,601,228,285
8450242,8450233,TXFE7,128,9951,2,603,229,286
8450242,8450239,TXFE7,128,9950,1,604,230,287
8450242,8450240,TXFE7,128,9950,3,607,231,288
8450254,8450245,TXFE7,128,9951,1,608,232,289
8450254,8450252,TXFE7,128,9950,1,609,233,290
8450267,8450257,TXFE7,128,9950,3,612,234,291
8450267,8450259,TXFE7,128,9951,1,613,235,292
8450279,8450276,TXFE7,128,9950,1,614,236,293
8450279,8450277,TXFE7,128,9950,1,615,237,294
8450279,8450279,TXFE7,128,9950,5,620,238,295
